Surveyor (Last Name),Day of the Week,Neighborhood,Language,Business ID,Bus or Bike Lane,Person Surveyed,Chain,Business Type,Number of Customers,Business Length Open,Number of Workers,Family Owned,Primary Concern,Financial Stability,Neighborhood Recovered,Crime,Housing Affordability,Local Politicians,Technology (list all with commas between),Adopt Technology Post-Pandemic,Struggle without Technology,Own or Rent,Amount Rent,Bicycle Lanes,Dedicated Bus Lanes,Trees,Public Art,"Notes (include data here on ""Other"" responses, observational notes.)"
Arnett,Friday,Downtown Oakland,English,DTO-16,,Owner,No,Restaurant/Bar,15,6-10 years,More than 10,Yes,"Crime, issues with remote work",Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,"Social media, online orders, delivery services, website",No,Yes,Rent,Did not want to share,Don't Know,Don't Support,Support,Support,Needed reassurance that the survey was truly anonymous
Arnett,Friday,Downtown Oakland,English,DTO-20,,Owner,No,Restaurant/Bar,2,More than 10 years,Less than 5,Yes,Safety,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,"Social media, online orders, delivery services, website",Yes,Yes,Rent,3500,Support,Don't Support,Support,Support,"Delivery adopted post pandemic, other tech in place before"
Arnett,Friday,Downtown Oakland,English,DTO-30,,Manager,Yes,Restaurant/Bar,6,0-3 years,More than 10,No,Security,Don't Know/NA,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, delivery services, website, app",Yes,Yes,Rent,Not sure,Support,Don't Know,Support,Support,
Arnett,Friday,Downtown Oakland,English,DTO-54,,Owner,Yes,Retail,0,0-3 years,10-May,No,"Adjustment of leases that began before COVID - this person signed a lease in Jan of 2020 that he no longer feels represents the value of the space, many owners trying to renogiate. Crime secondary concern.",Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, website, SEO, paid social media advertising",Yes,Yes,Rent,8200,Support,Don't Support,Don't Support,Support,"Online ecommerce through the mail and same day pickup in store. Just opened 2nd location. Business opened in Summer 2020 but lease was signed pre-March 2020. Negotiated rent down from 9800 to 8200, tenant has to also pay property taxes and management fees on behalf of landlord. Seems like a bad deal and number appears higher than the other people who were willing to disclose. COVID forced business to rely more on ecommerce but owner wishes it could be pure retail"
Barker,Friday,Downtown Oakland,English,DTO-10,Neither,Owner,Yes,Restaurant/Bar,5,0-3 years,More than 10,Yes,"safety, break ins, parking",Don't Know/NA,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,"social media, online orders, delivery services, website",Yes,No,Rent,4000,Support,Support,Support,Support,Complained about the excessive fees that delivery services charge
Barker,Friday,Downtown Oakland,English,DTO-14,Neither,Employee,Yes,Activity Based,5,4-5 years,More than 10,No,community,Don't Know/NA,Strongly Disagree,Strongly Agree,Don't Know/NA,Don't Know/NA,"social media, online orders, website, class pass, ash",Yes,Yes,Rent,,Support,Support,Support,Support,
Barker,Friday,Downtown Oakland,English,DTO-23,Neither,Owner,No,Restaurant/Bar,7,0-3 years,More than 10,No,lack of city support,Don't Know/NA,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,"social media, online orders, delivery services, website",Yes,Yes,Rent,4540,Support,Support,Support,Support,
Barker,Friday,Downtown Oakland,English,DTO-68,Neither,Manager,Yes,Restaurant/Bar,8,More than 10 years,10-May,Yes,"robberies, homeless people",Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,"social media, online orders, delivery services, website",No,Yes,Rent,,Support,Support,Support,Support,
Becica,Friday,SF Chinatown,English,SFMB1,Neither,Employee,No,Retail,2,More than 10 years,Less than 5,Yes,Not enough business and foot traffic. Big loss of business from not having conventions anymore - big conventions used to bring lots of business to Chinatown and businesses used to stay open late. Now everyone closes early.,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Website,No,No,Rent,6500,Support,Don't Know,Don't Know,Support,
Becica,Friday,SF Chinatown,English,SFMB2,Neither,Employee,No,Retail,2,0-3 years,Less than 5,No,Less tourists after COVID,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Don't Know/NA,None,,,,,Don't Support,Don't Support,Don't Know,Don't Know,
Becica,Friday,SF Chinatown,English,SFMB4,Neither,Owner,No,Retail,0,More than 10 years,Less than 5,Yes,,,,,,,,,,,,,,,,Ended the survey after being asked what the primary concern for business owners are. Seemed to not want to have his opinions on issues recorded
Becica,Friday,SF Chinatown,English,SFMB5,Neither,Employee,No,Restaurant/Bar,0,More than 10 years,Less than 5,Yes,Getting people in San Francisco to leave their neighborhoods to visit Chinatown,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,Social media,,No,,,Support,Don't Support,Support,Support,
Bernal,Wednesday,Berkeley,English,B0201,Neither,Owner,No,Retail,15,More than 10 years,10-May,Yes,Crime,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,"Social media, online orders, website",Yes,Yes,Rent,"$11,000 ",Don't Support,Don't Support,Support,Support,
Bernal,Wednesday,Berkeley,English,B0202,Neither,Employee,Yes,Retail,3,More than 10 years,10-May,Yes,Foot traffic volume,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Don't Know/NA,"Social media, online orders, website",No,Yes,Rent,Don't know,Support,Support,Support,Support,
Bernal,Friday,Berkeley,English,B0206,Neither,Employee,No,Retail + Services,0,0-3 years,10-May,Yes,Rent,Strongly Agree,Somewhat Agree,Somewhat Disagree,Don't Know/NA,Somewhat Disagree,"Social media, online orders, website",No,Yes,Rent,Don't know,Support,Support,Support,Support,
Bernal,Friday,Berkeley,English,B0207,Neither,Employee,No,Retail + Services,3,More than 10 years,10-May,Yes,Staying in business,Somewhat Agree,Somewhat Agree,Somewhat Agree,Don't Know/NA,Strongly Agree,Social media,No,,Own,N/A,Don't Know,Don't Know,Don't Know,Support,
Biniaz,Monday,SF Chinatown,English,SFCTB1,Neither,Owner,Yes,Grocery/Market,2,More than 10 years,Less than 5,Yes,Safety,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,"social media, online orders, delivery services, website",No,No,Rent,5000,Don't Support,,Don't Support,Support,
Biniaz,Monday,SF Chinatown,English,SFCTB2,Neither,Manager,No,Retail,0,More than 10 years,Less than 5,Yes,Crime,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,none,,,Rent,5000,Support,Support,Support,Support,
Biniaz,Monday,SF Chinatown,English,SFCTB3,Neither,Owner,Unsure,Restaurant/Bar,5,0-3 years,Less than 5,Yes,Safety,,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,"social media, online orders, delivery services, website",Yes,,Rent,5000,Don't Support,Don't Support,Don't Support,Support,
Biniaz,Monday,SF Chinatown,English,SFCTL5,Neither,Employee,No,Restaurant/Bar,0,0-3 years,10-May,Yes,"Foot traffic, COVID impacts",Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,"Social media, delivery services",,Yes,Rent,,Support,Support,Don't Support,Support,
Cain,Wednesday,Berkeley,English,B0401,Bike Lane,Employee,No,Retail,0,More than 10 years,10-May,No,"Foot traffic, security ",Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,"Social media, online orders, website",Yes,No,Rent,3000,Support,Don't Support,Support,Support,
Cain,Wednesday,Berkeley,English,B0403,Neither,Employee,Yes,Retail,0,More than 10 years,Less than 5,Yes,Declining revenue,Somewhat Disagree,Don't Know/NA,Strongly Disagree,Strongly Agree,Don't Know/NA,Social media,Yes,Yes,Rent,unknown,Support,Support,Support,Don't Know,
Cain,Wednesday,Berkeley,English,B0404,Neither,Employee,No,Other,2,More than 10 years,Less than 5,No,Parking,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Don't Know/NA,"Social media, online orders, delivery services, website",Yes,Yes,Rent,unknown ,Support,Don't Know,Support,Support,
Champlin,Thursday,Berkeley,English,B0702,Neither,Manager,Yes,Retail + Services,0,0-3 years,More than 10,No,"Theft, delinquents, violence, speeding",Don't Know/NA,Strongly Agree,Strongly Agree,Don't Know/NA,Don't Know/NA,"Online orders, Delivery services, Website",,Yes,Rent,Didnt want to say,Don't Know,Don't Know,Don't Know,Don't Know,
Champlin,Thursday,Berkeley,English,B0706,Neither,Employee,No,Grocery/Market,2,More than 10 years,Less than 5,Yes,No response/ dont know,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Don't Know/NA,None,,,Own,N/A,Support,Support,Support,Support,
Champlin,Thursday,Berkeley,English,B0708,Neither,Employee,No,Grocery/Market,0,,Less than 5,Don't Know,Dont know,Don't Know/NA,Don't Know/NA,Somewhat Disagree,Don't Know/NA,Don't Know/NA,Delivery Services,,,Rent,Dont know,Don't Know,Don't Know,Don't Know,Don't Know,Talked to an employee who has only worked at the store for 1 week lol.
Champlin,Thursday,Berkeley,English,B0709,Neither,Owner,No,Restaurant/Bar,10,More than 10 years,10-May,Yes,"Increasing amount of competitors in the neibhorhood, but the population hasn't increased. Not enough of the pie to go around.",Somewhat Agree,Somewhat Disagree,Strongly Disagree,Don't Know/NA,Don't Know/NA,"Social Media, Online orders, Delivery services, website",Yes,Yes,Rent,10% of sales,Support,Don't Support,Support,Support,
Collins,Friday,Downtown Oakland,English,DTO-07,Bike Lane,Owner,No,Restaurant/Bar,0,4-5 years,Less than 5,Yes,"Rent is too high, more crime than other areas",Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,"Social media, online orders, delivery services, website",Yes,Yes,Rent,"$3,500 ",Support,Support,Support,Don't Support,
Collins,Friday,Downtown Oakland,English,DTO-51,Neither,Owner,No,Retail + Services,0,6-10 years,Less than 5,Yes,"Crime, Lack of folks working downtown",Strongly Disagree,Strongly Disagree,Strongly Agree,Don't Know/NA,Somewhat Disagree,Social media,No,No,Rent,"$2,800 ",Support,Support,Support,Don't Support,
Collins,Friday,Downtown Oakland,English,DTO-52,Neither,Employee,Yes,Restaurant/Bar,1,More than 10 years,10-May,Don't Know,Safety,Don't Know/NA,Strongly Disagree,Strongly Agree,Don't Know/NA,Strongly Disagree,"Online orders, delivery services, website",No,No,,,Support,Support,Support,Support,
Collins,Friday,Downtown Oakland,English,DTO-53,Neither,Owner,No,Grocery/Market,1,0-3 years,Less than 5,Yes,Security,,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Online orders  ,Yes,No,Rent,"$4,500 ",Don't Support,Don't Support,Support,Support,
DaCosta,Tuesday,Berkeley,English,B1601,Neither,Owner,No,Restaurant/Bar,2,More than 10 years,Less than 5,Yes,"Cleanliness, increase in homelessness",Don't Know/NA,Don't Know/NA,Somewhat Disagree,Strongly Agree,Somewhat Agree,Online orders,Yes,Yes,Rent,,Support,Don't Support,Support,Don't Know,
DaCosta,Friday,Berkeley,English,B1602,Neither,Manager,No,Restaurant/Bar,6,0-3 years,More than 10,Yes,None,Don't Know/NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Don't Know/NA,"Social media, online orders, website",,Yes,Rent,,Support,Support,Support,Don't Know,
DaCosta,Friday,Berkeley,English,B1603,Neither,Manager,No,Restaurant/Bar,3,0-3 years,10-May,Yes,"Garbage piled on streets, lack of sanitation rules and regulations, high taxes, labor costs",Don't Know/NA,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,"Social media, online orders, delivery services, website",,Yes,Rent,,Support,Support,Support,Don't Know,
DaCosta,Friday,Berkeley,English,B1604,Bike Lane,Manager,No,Restaurant/Bar,10,4-5 years,Less than 5,Yes,None,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don't Know/NA,Don't Know/NA,"Online orders, delivery services",Yes,No,Rent,,Don't Know,Don't Know,Don't Know,Support,"Small % of sales through online orders, used service for free menus/supplies"
Esteva,Friday,Mission,Spanish,B12,Bus Lane,Owner,No,Retail,5,4-5 years,Less than 5,Yes,"Rent, Foot traffic, Parking",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don't Know/NA,Social media ,No,Yes,Rent,"$5,000 ",Don't Support,Don't Support,Support,Support,
Esteva,Friday,Mission,Spanish,B15,Neither,Owner,No,Restaurant/Bar,4,6-10 years,Less than 5,Yes,"Rent, Parking, Robery",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"social media, online orders, website, delivery",Yes,Yes,Rent,"$5,000 ",Don't Support,Support,Support,Support,
Esteva,Friday,Mission,Spanish,B16,Neither,Owner,No,Grocery/Market,0,0-3 years,Less than 5,Yes,Robery and Parking,Don't Know/NA,Somewhat Disagree,Strongly Disagree,Strongly Agree,Don't Know/NA,online services,Yes,Yes,Rent,"$3,500 ",Don't Support,Support,Support,Support,
Esteva,Friday,Mission,Spanish,B18,Neither,Employee,No,Retail,7,More than 10 years,10-May,Yes,"Robery, language barrier and Parking",Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,none,No,Yes,Rent,"$3,500 ",Support,Don't Support,Support,Support,
Flores ,Saturday,Downtown Oakland,Spanish,DTO-69,Both,Owner,No,Retail,0,0-3 years,Less than 5,Yes,Marketing ,Don't Know/NA,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,"social media, Online orders, delilvery services, website",Yes,Yes,Rent,$0 ,Support,Support,Support,Support,
Flores ,Saturday,Downtown Oakland,English,DTO-70,Both,Other,No,Grocery/Market,2,0-3 years,Less than 5,Yes,Reaching people from different demographics ,Strongly Agree,Don't Know/NA,Don't Know/NA,Somewhat Disagree,Strongly Disagree,Delivery Services,No,Yes,Rent,$260 ,Don't Support,Don't Support,Don't Support,Don't Support,"Other: Recently made co-owner , does not support additional investments since this area is already thriving with what it has "
Flores ,Saturday,Downtown Oakland,English,DTO-71,Both,Employee,No,Grocery/Market,8,More than 10 years,Less than 5,Yes,"Economy not allowing people to purchase more specialty items, the prolonged rainy season affected this selling season ",Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Website,No,No,Rent,Don't know ,Don't Support,Don't Support,Don't Support,Don't Support,"Sales skyrocketed during covid, last set of questions response was "" everything is as fine as it is"""
Flores ,Saturday,Downtown Oakland,English,DTO-72 ,Both,Employee,No,Grocery/Market,6,6-10 years,Less than 5,Yes,No Concerns ,Strongly Agree,Don't Know/NA,Somewhat Agree,Strongly Disagree,Don't Know/NA,"Social media, online orders, website ",No,No,Rent,$560 ,Support,Support,Support,Support,
Goswami,Friday,Downtown Oakland,English,DTO-13,Bike Lane,Owner,No,Retail,3,More than 10 years,10-May,No,"break-ins, crime",Somewhat Disagree,Don't Know/NA,Somewhat Agree,Strongly Agree,Somewhat Disagree,"Social media, Online orders, Website",No,Yes,Rent,unsure,Support,Support,Support,Support,
Goswami,Friday,Downtown Oakland,English,DTO-18,Bike Lane,Manager,No,Grocery/Market,2,More than 10 years,Less than 5,Yes,"Safety, lack of parking and other infrastructure",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Online orders, delivery services",Yes,No,Rent,6000,Don't Support,Don't Support,Support,Support,
Goswami,Friday,Downtown Oakland,English,DTO-20,Bike Lane,Owner,No,Retail,0,0-3 years,Less than 5,Yes,"Traffic (customers), walkability",Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Social media,Yes,No,Own,N/A,Don't Support,Don't Support,Support,Support,
Goswami,Friday,Downtown Oakland,English,DTO-43,Neither,Owner,No,Restaurant/Bar,0,0-3 years,Less than 5,No,"Safety, vandalism",Don't Know/NA,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Don't Know/NA,Social media,Yes,Yes,Rent,4000,Support,Support,Support,Support,
Grannis,Wednesday,Mission,English,B1,Bike Lane,Employee,No,Retail,6,More than 10 years,10-May,Don't Know,"Pandemic recovery, ""SF crazies"" e.g., aggressiveness, safety",Don't Know/NA,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, website",No,No,Rent,N/A,Support,Don't Support,Support,Support,Supports bike lanes but not the one on Valencia (where the business in located)
Grannis,Wednesday,Mission,English,B2,Bike Lane,Employee,No,Healthcare/Education,1,More than 10 years,Less than 5,Don't Know,Parking,Somewhat Disagree,Don't Know/NA,Somewhat Disagree,Don't Know/NA,Somewhat Agree,"Social media, online orders, delivery services, website",No,Yes,Rent,N/A,Support,Support,Support,Support,
Hernandez,Friday,Mission,Spanish,B30,Bus Lane,Owner,No,Services,1,More than 10 years,Less than 5,Yes,"Crime, ""dirty streets"", homeless folks ",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,None,No,Yes,Rent,"2,000",Support,Don't Know,Support,Don't Support,
Hernandez,Friday,Mission,Spanish,B31,Bus Lane,Owner,No,Services,5,0-3 years,Less than 5,No,"high rate of unemployment affecting the client flow and investment in their services, increasing rent prices for residents around the neighborhood, business insurances  ",Don't Know/NA,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,"Social media, instagram & Facebook",No,Yes,Rent,"5,000",Don't Know,Support,Support,Don't Support,
Horiike,Wednesday,Berkeley,English,B0501,Neither,Employee,Yes,Retail,6,0-3 years,More than 10,Don't Know,No strong concerns,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,"Social media, online orders, Website, delivery",No,Yes,Rent,N/A,Support,Support,Support,Support,
Horiike,Wednesday,Berkeley,English,B0503,Neither,Owner,No,Retail,5,6-10 years,Less than 5,Yes,"Rents, parking, cost of operation",Strongly Disagree,Don't Know/NA,Strongly Disagree,Don't Know/NA,Strongly Disagree,"Social media, online orders, website",Yes,No,Rent,N/A,Support,Support,Support,Support,
Horiike,Wednesday,Berkeley,English,B0504,Bike Lane,Manager,No,Grocery/Market,100,More than 10 years,More than 10,Yes,"Cost of operation, labor",Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Don't Know/NA,"Social media, online orders, delivery services, website",No,No,Own,N/A,Support,Support,Support,Support,
Horiike,Sunday,Berkeley,English,B0503,Neither,Employee,No,Retail,3,0-3 years,10-May,Yes,Lack of parking,Don't Know/NA,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,"Social media, online orders, website",Yes,Yes,Rent,N/A,Support,Support,Support,Support,
Kalamder,Saturday,Fruitvale,English,FV3,Bus Lane,Other,No,Retail,2,6-10 years,Less than 5,Yes,Robberies,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Don't Know/NA,Social media,Yes,No,Rent,Don't know,Don't Know,Don't Know,Support,Don't Know,Respondent was a family member of the owner
Kalamder,Saturday,Fruitvale,Spanish,FV5,Bike Lane,Manager,No,Retail,0,0-3 years,Less than 5,Yes,"Robberies, safety and security of employees",Don't Know/NA,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,"Social media,website",Yes,Yes,Rent,$3000-$4000,Support,Support,Support,Support,
Kalamder,Saturday,Fruitvale,English,FV15,Bus Lane,Employee,Unsure,Services,0,0-3 years,Less than 5,No,Robberies,Don't Know/NA,Don't Know/NA,Strongly Agree,Strongly Agree,Don't Know/NA,"Social media, website",Yes,Yes,Rent,Don't know,Support,Support,Support,Support,
Kalamder,Saturday,Fruitvale,English,FV19,Both,Manager,No,Restaurant/Bar,7,4-5 years,Less than 5,Yes,"Safety, robberies",Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Don't Know/NA,"Online orders, delivery services",Yes,Yes,Rent,Don't know,Don't Support,Support,Support,Don't Know,This restaurant was robbed a few days ago. The robbers were unarmed and police didn't show up until after 30 minutes of being called. 
Kashyap,Friday,Downtown Oakland,English,DTO-34,Neither,Owner,No,Activity Based,0,4-5 years,Less than 5,No,"Robbery, Less foot traffic",Don't Know/NA,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, website",,Yes,Rent,$550/m,Don't Know,Don't Know,Support,Support,Robbery is a major issue. 
Kashyap,Friday,Downtown Oakland,English,DTO-36,Neither,Employee,No,Retail,0,0-3 years,Less than 5,Yes,Less foot traffic because of the location,,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Don't Know/NA,"Social media, online orders, website",,Yes,Own,,Support,Support,Support,Support,The employee was new so she wasnt sure about crime/ safety situation of the neighborhood
Kashyap,Friday,Downtown Oakland,English,DTO-41,,Employee,No,Restaurant/Bar,1,0-3 years,10-May,No,"High rents, less support from city",,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,"Social media, online orders, website",,Yes,Own,,Support,Don't Know,Support,Support,They also organize many public events but face issues because of less/no support from the city which impacts their business
Kashyap,Saturday,Downtown Oakland,English,DTO-70,Neither,Other,Yes,Restaurant/Bar,0,0-3 years,Less than 5,No,"Less foot traffic, crime, safety concern",Don't Know/NA,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,"Social media, Online orders, Website, Google Maps and App",No,Yes,Own,,Don't Support,Support,Support,Don't Know,"The respondent was Operations Manager of the store. According to him, rents in the area are pretty reasonable. He said, ""they are maybe expensive but not Bay area expensive"". Regarding last question, his views were that if city wants to invest on something, they need to prioritise and think about people, community and businesses here, safety is a major issue and that is required to be taken care of first and then we can think about beautifying the neighborhood with trees, murals or having bike lanes etc. "
Lalla,Saturday,Mission,English,RL01,Bike Lane,Employee,No,Restaurant/Bar,3,0-3 years,10-May,No,Crime,Don't Know/NA,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Online orders,Yes,No,Rent,N/A,Support,Support,Support,Support,
Lalla,Saturday,Mission,English,RL02,Bike Lane,Employee,No,Retail,5,4-5 years,10-May,No,"Break-ins, crime",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/NA,Don't Know/NA,Social media,No,Yes,Rent,N/A,Don't Support,Don't Support,Support,Support,
Lam,Tuesday,Berkeley,English,B061,Neither,Employee,No,Retail + Services,4,0-3 years,10-May,Yes,Safety for the employees and guests,Don't Know/NA,Don't Know/NA,Strongly Agree,Don't Know/NA,Don't Know/NA,Social media,No,Yes,,,Support,Support,Support,Don't Support,
Lam,Tuesday,Berkeley,English,B062,Neither,Employee,No,Restaurant/Bar,0,More than 10 years,More than 10,Yes,Crime,Don't Know/NA,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, website",,,Rent,,Don't Support,Support,Don't Support,Don't Support,
